stem,split,image_path,mask_microaneurysms,mask_haemorrhages,mask_soft_exudates,mask_hard_exudates,mask_optic_disc
IDRiD_16,val,A. Segmentation\1. Original Images\c. All Images\IDRiD_16.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_16_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_16_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_16_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_16_OD.tif
IDRiD_17,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_17.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_17_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_17_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_17_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_17_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_17_OD.tif
IDRiD_18,val,A. Segmentation\1. Original Images\c. All Images\IDRiD_18.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_18_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_18_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_18_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_18_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_18_OD.tif
IDRiD_19,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_19.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_19_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_19_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_19_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_19_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_19_OD.tif
IDRiD_20,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_20.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_20_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_20_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_20_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_20_OD.tif
IDRiD_21,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_21.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_21_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_21_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_21_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_21_OD.tif
IDRiD_22,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_22.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_22_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_22_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_22_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_22_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_22_OD.tif
IDRiD_23,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_23.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_23_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_23_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_23_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_23_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_23_OD.tif
IDRiD_24,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_24.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_24_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_24_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_24_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_24_OD.tif
IDRiD_25,test,A. Segmentation\1. Original Images\c. All Images\IDRiD_25.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_25_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_25_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_25_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_25_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_25_OD.tif
IDRiD_26,val,A. Segmentation\1. Original Images\c. All Images\IDRiD_26.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_26_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_26_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_26_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_26_OD.tif
IDRiD_27,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_27.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_27_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_27_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_27_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_27_OD.tif
IDRiD_28,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_28.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_28_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_28_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_28_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_28_OD.tif
IDRiD_29,val,A. Segmentation\1. Original Images\c. All Images\IDRiD_29.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_29_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_29_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_29_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_29_OD.tif
IDRiD_30,test,A. Segmentation\1. Original Images\c. All Images\IDRiD_30.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_30_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_30_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_30_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_30_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_30_OD.tif
IDRiD_31,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_31.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_31_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_31_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_31_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_31_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_31_OD.tif
IDRiD_32,val,A. Segmentation\1. Original Images\c. All Images\IDRiD_32.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_32_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_32_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_32_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_32_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_32_OD.tif
IDRiD_33,test,A. Segmentation\1. Original Images\c. All Images\IDRiD_33.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_33_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_33_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_33_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_33_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_33_OD.tif
IDRiD_34,val,A. Segmentation\1. Original Images\c. All Images\IDRiD_34.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_34_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_34_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_34_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_34_OD.tif
IDRiD_35,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_35.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_35_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_35_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_35_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_35_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_35_OD.tif
IDRiD_36,val,A. Segmentation\1. Original Images\c. All Images\IDRiD_36.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_36_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_36_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_36_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_36_OD.tif
IDRiD_37,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_37.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_37_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_37_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_37_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_37_OD.tif
IDRiD_38,test,A. Segmentation\1. Original Images\c. All Images\IDRiD_38.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_38_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_38_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_38_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_38_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_38_OD.tif
IDRiD_39,test,A. Segmentation\1. Original Images\c. All Images\IDRiD_39.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_39_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_39_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_39_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_39_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_39_OD.tif
IDRiD_40,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_40.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_40_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_40_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_40_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_40_OD.tif
IDRiD_41,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_41.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_41_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_41_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_41_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_41_OD.tif
IDRiD_42,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_42.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_42_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_42_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_42_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_42_OD.tif
IDRiD_43,test,A. Segmentation\1. Original Images\c. All Images\IDRiD_43.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_43_MA.tif,,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_43_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_43_OD.tif
IDRiD_44,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_44.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_44_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_44_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_44_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_44_OD.tif
IDRiD_45,test,A. Segmentation\1. Original Images\c. All Images\IDRiD_45.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_45_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_45_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_45_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_45_OD.tif
IDRiD_46,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_46.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_46_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_46_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_46_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_46_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_46_OD.tif
IDRiD_47,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_47.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_47_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_47_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_47_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_47_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_47_OD.tif
IDRiD_48,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_48.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_48_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_48_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_48_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_48_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_48_OD.tif
IDRiD_49,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_49.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_49_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_49_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_49_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_49_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_49_OD.tif
IDRiD_50,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_50.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_50_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_50_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_50_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_50_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_50_OD.tif
IDRiD_51,val,A. Segmentation\1. Original Images\c. All Images\IDRiD_51.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_51_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_51_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_51_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_51_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_51_OD.tif
IDRiD_52,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_52.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_52_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_52_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_52_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_52_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_52_OD.tif
IDRiD_53,val,A. Segmentation\1. Original Images\c. All Images\IDRiD_53.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_53_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_53_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_53_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_53_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_53_OD.tif
IDRiD_54,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_54.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_54_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_54_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_54_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_54_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_54_OD.tif
IDRiD_55,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_55.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_55_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_55_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_55_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_55_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_55_OD.tif
IDRiD_56,val,A. Segmentation\1. Original Images\c. All Images\IDRiD_56.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_56_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_56_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_56_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_56_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_56_OD.tif
IDRiD_57,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_57.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_57_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_57_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_57_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_57_OD.tif
IDRiD_58,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_58.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_58_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_58_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_58_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_58_OD.tif
